"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 12- 26","225.95","216.88","226.10","214.83","11.60M","5.06%"
"2018- 12- 24","215.07","219.74","220.80","215.07","8.49M","-2.75%"
"2018- 12- 21","221.16","226.74","229.46","220.57","11.81M","-1.99%"
"2018- 12- 20","225.65","228.35","229.90","223.54","12.14M","-1.64%"
"2018- 12- 19","229.42","233.21","237.00","227.78","8.22M","-1.60%"
"2018- 12- 18","233.14","235.00","235.68","231.48","4.69M","-0.04%"
"2018- 12- 17","233.23","237.06","238.22","231.68","6.13M","-2.57%"
"2018- 12- 14","239.38","241.65","242.63","238.77","5.09M","-1.85%"
"2018- 12- 13","243.88","244.86","245.76","242.70","2.61M","-0.03%"
"2018- 12- 12","243.96","245.80","247.16","243.85","4.12M","0.55%"
"2018- 12- 11","242.62","245.95","246.12","241.19","4.54M","0.03%"
"2018- 12- 10","242.55","242.00","243.62","237.62","5.98M","0.12%"
"2018- 12- 07","242.26","247.63","249.24","241.37","3.93M","-2.32%"
"2018- 12- 06","248.02","244.42","248.09","241.13","7.71M","-0.25%"
"2018- 12- 04","248.65","255.85","256.27","248.06","3.84M","-3.10%"
"2018- 12- 03","256.61","257.65","257.74","255.06","3.94M","1.23%"
"2018- 11- 30","253.48","251.64","253.94","251.35","2.99M","0.66%"
"2018- 11- 29","251.81","251.54","253.25","250.36","3.28M","-0.21%"
"2018- 11- 28","252.33","247.72","252.33","246.75","3.72M","2.34%"
"2018- 11- 27","246.57","244.73","246.60","244.12","2.85M","0.31%"
"2018- 11- 26","245.80","244.23","245.84","243.85","2.50M","1.57%"
"2018- 11- 23","242.01","241.80","243.35","241.73","830.91K","-0.64%"
"2018- 11- 21","243.58","244.24","245.44","243.52","2.43M","0.33%"
"2018- 11- 20","242.77","243.84","245.32","241.83","5.00M","-1.84%"
"2018- 11- 19","247.32","250.94","251.21","246.35","2.97M","-1.66%"
"2018- 11- 16","251.49","249.77","252.47","249.26","2.34M","0.26%"
"2018- 11- 15","250.85","247.02","251.39","245.43","3.96M","1.04%"
"2018- 11- 14","248.28","251.96","252.34","246.66","3.62M","-0.68%"
"2018- 11- 13","249.99","250.96","253.01","249.28","3.10M","-0.17%"
"2018- 11- 12","250.41","254.69","254.96","249.95","2.71M","-1.93%"
"2018- 11- 09","255.34","256.50","256.64","253.81","3.08M","-0.92%"
"2018- 11- 08","257.72","257.49","258.44","256.65","2.47M","-0.17%"
"2018- 11- 07","258.16","255.07","258.32","254.65","3.09M","2.11%"
"2018- 11- 06","252.82","251.18","252.97","251.12","2.26M","0.63%"
"2018- 11- 05","251.23","250.32","251.79","249.39","1.91M","0.57%"
"2018- 11- 02","249.81","252.44","252.90","247.75","3.18M","-0.62%"
"2018- 11- 01","251.37","249.63","251.54","248.46","2.87M","1.04%"
"2018- 10- 31","248.79","248.72","251.08","248.27","4.07M","1.05%"
"2018- 10- 30","246.21","242.31","246.38","241.80","3.62M","1.53%"
"2018- 10- 29","242.50","247.03","248.35","238.79","5.13M","-0.52%"
"2018- 10- 26","243.76","244.34","246.98","241.03","5.28M","-1.77%"
"2018- 10- 25","248.15","245.71","249.79","244.67","4.44M","1.79%"
"2018- 10- 24","243.78","251.19","251.55","243.25","4.07M","-2.98%"
"2018- 10- 23","251.28","249.00","252.58","246.84","5.21M","-0.60%"
"2018- 10- 22","252.80","254.55","254.86","252.17","2.10M","-0.41%"
"2018- 10- 19","253.85","254.66","256.62","253.15","2.68M","-0.08%"
"2018- 10- 18","254.05","256.75","257.35","252.69","3.05M","-1.40%"
"2018- 10- 17","257.67","257.75","258.34","255.07","2.85M","0.03%"
"2018- 10- 16","257.58","254.14","258.10","253.70","3.31M","2.13%"
"2018- 10- 15","252.21","253.19","254.56","252.04","3.31M","-0.55%"
"2018- 10- 12","253.60","254.39","254.64","250.30","7.12M","1.35%"
"2018- 10- 11","250.22","254.81","256.29","248.45","9.04M","-2.10%"
"2018- 10- 10","255.60","263.62","263.62","255.37","5.80M","-3.23%"
"2018- 10- 09","264.13","264.10","265.45","263.55","2.08M","-0.13%"
"2018- 10- 08","264.47","263.77","264.85","262.38","3.22M","-0.03%"
"2018- 10- 05","264.54","266.19","266.77","263.02","2.56M","-0.56%"
"2018- 10- 04","266.04","267.57","267.66","264.37","5.00M","-0.82%"
"2018- 10- 03","268.24","269.02","269.47","267.72","2.51M","0.09%"
"2018- 10- 02","268.01","267.97","268.67","267.55","3.03M","-0.01%"
"2018- 10- 01","268.04","268.46","269.18","267.39","1.97M","0.37%"
"2018- 09- 28","267.05","266.50","267.65","266.43","1.77M","-0.01%"
"2018- 09- 27","267.08","266.88","268.24","266.60","3.08M","0.28%"
"2018- 09- 26","266.34","267.32","268.54","265.95","2.57M","-0.74%"
"2018- 09- 25","268.33","269.10","269.17","268.15","2.36M","-0.12%"
"2018- 09- 24","268.66","268.93","269.07","268.02","2.07M","-0.33%"
"2018- 09- 21","269.56","270.55","270.67","269.37","1.35M","-0.07%"
"2018- 09- 20","269.75","268.89","270.10","268.79","3.35M","0.80%"
"2018- 09- 19","267.60","267.35","268.03","267.23","2.08M","0.11%"
"2018- 09- 18","267.30","266.10","267.92","266.09","1.82M","0.55%"
"2018- 09- 17","265.85","267.22","267.26","265.59","2.52M","-0.56%"
"2018- 09- 14","267.36","267.47","267.62","266.47","1.86M","0.05%"
"2018- 09- 13","267.22","266.78","267.42","266.47","2.09M","0.57%"
"2018- 09- 12","265.71","265.61","266.26","264.83","3.02M","0.01%"
"2018- 09- 11","265.68","264.03","266.05","263.68","3.42M","0.38%"
"2018- 09- 10","264.68","265.28","265.57","264.51","2.83M","0.19%"
"2018- 09- 07","264.18","263.63","265.26","263.45","2.63M","-0.24%"
"2018- 09- 06","264.82","265.69","265.99","263.70","1.69M","-0.29%"
"2018- 09- 05","265.60","265.91","266.13","264.52","4.60M","-0.28%"
"2018- 09- 04","266.35","266.35","266.66","265.26","3.62M","-0.14%"
"2018- 08- 31","266.72","266.33","267.22","265.83","3.17M","0.00%"
"2018- 08- 30","266.71","267.31","267.71","266.12","2.63M","-0.41%"
"2018- 08- 29","267.80","266.59","268.05","266.34","2.12M","0.55%"
"2018- 08- 28","266.34","266.76","266.83","265.89","3.03M","0.06%"
"2018- 08- 27","266.19","265.38","266.35","265.26","2.37M","0.75%"
"2018- 08- 24","264.20","263.16","264.29","263.11","2.33M","0.63%"
"2018- 08- 23","262.55","262.68","263.63","262.21","2.31M","-0.14%"
"2018- 08- 22","262.93","262.64","263.45","262.39","1.71M","-0.03%"
"2018- 08- 21","263.01","263.01","263.97","262.86","1.94M","0.22%"
"2018- 08- 20","262.44","262.40","262.74","261.90","1.25M","0.22%"
"2018- 08- 17","261.86","260.71","262.38","260.35","2.28M","0.33%"
"2018- 08- 16","260.99","260.36","261.89","260.35","1.69M","0.81%"
"2018- 08- 15","258.89","259.43","259.55","257.39","2.59M","-0.74%"
"2018- 08- 14","260.81","259.94","261.07","259.55","1.53M","0.64%"
"2018- 08- 13","259.14","260.41","261.07","258.90","3.69M","-0.38%"
"2018- 08- 10","260.12","260.36","260.96","259.43","2.40M","-0.68%"
"2018- 08- 09","261.90","262.33","262.74","261.76","1.08M","-0.13%"
"2018- 08- 08","262.23","262.23","262.67","261.79","1.56M","-0.05%"
"2018- 08- 07","262.37","262.20","262.78","262.08","2.62M","0.28%"
"2018- 08- 06","261.64","260.56","261.83","260.20","1.84M","0.38%"
"2018- 08- 03","260.66","259.60","260.66","259.39","2.02M","0.49%"
"2018- 08- 02","259.39","256.73","259.60","256.48","1.77M","0.51%"
"2018- 08- 01","258.08","258.64","259.19","257.35","1.65M","-0.12%"
"2018- 07- 31","258.40","258.02","259.09","257.60","1.99M","0.51%"
"2018- 07- 30","257.10","258.60","258.78","256.64","1.60M","-0.58%"
"2018- 07- 27","258.59","260.73","260.74","257.58","2.67M","-0.65%"
"2018- 07- 26","260.28","260.14","261.00","260.10","2.17M","-0.29%"
"2018- 07- 25","261.05","258.54","261.25","258.43","2.62M","0.92%"
"2018- 07- 24","258.68","258.84","259.57","257.82","2.92M","0.47%"
"2018- 07- 23","257.47","256.73","257.61","256.40","1.45M","0.19%"
"2018- 07- 20","256.98","257.00","257.65","256.78","2.71M","-0.09%"
"2018- 07- 19","257.22","257.50","257.90","256.75","2.05M","-0.38%"
"2018- 07- 18","258.20","257.76","258.32","257.28","2.61M","0.18%"
"2018- 07- 17","257.73","255.85","258.06","255.80","1.83M","0.43%"
"2018- 07- 16","256.63","256.89","257.01","256.16","993.46K","-0.06%"
"2018- 07- 13","256.79","256.49","257.16","255.99","1.81M","0.09%"
"2018- 07- 12","256.57","255.66","256.66","255.01","2.87M","0.86%"
"2018- 07- 11","254.39","254.60","255.41","254.03","2.34M","-0.68%"
"2018- 07- 10","256.14","255.75","256.30","255.45","1.31M","0.35%"
"2018- 07- 09","255.25","254.05","255.32","254.01","3.98M","0.89%"
"2018- 07- 06","253.01","250.91","253.39","250.52","2.62M","0.83%"
"2018- 07- 05","250.92","250.07","250.94","248.91","1.95M","0.86%"
"2018- 07- 03","248.79","250.68","250.76","248.44","1.16M","-0.40%"
"2018- 07- 02","249.80","247.56","249.89","247.32","1.94M","0.12%"
"2018- 06- 29","249.51","249.98","251.36","249.10","3.71M","0.25%"
"2018- 06- 28","248.88","247.30","249.60","246.63","2.64M","0.14%"
"2018- 06- 27","248.53","251.27","252.73","248.43","3.43M","-0.83%"
"2018- 06- 26","250.61","250.66","251.53","249.91","2.97M","0.22%"
"2018- 06- 25","250.06","252.37","252.51","248.35","6.69M","-1.38%"
"2018- 06- 22","253.57","254.40","254.52","253.32","3.09M","0.18%"
"2018- 06- 21","253.12","254.66","254.67","252.58","4.04M","-0.62%"
"2018- 06- 20","254.71","254.97","255.37","254.32","1.58M","0.18%"
"2018- 06- 19","254.25","252.83","254.46","252.42","1.86M","-0.38%"
"2018- 06- 18","255.22","254.18","255.36","253.71","2.02M","-0.24%"
"2018- 06- 15","255.83","255.27","256.07","254.13","2.00M","-0.09%"
"2018- 06- 14","256.05","256.31","256.62","255.46","1.91M","0.29%"
"2018- 06- 13","255.31","256.53","256.77","255.23","2.51M","-0.40%"
"2018- 06- 12","256.33","256.39","256.63","255.60","1.18M","0.17%"
"2018- 06- 11","255.90","255.79","256.67","255.70","2.65M","0.13%"
"2018- 06- 08","255.57","254.36","255.62","254.19","1.52M","0.31%"
"2018- 06- 07","254.77","255.37","255.70","253.88","2.62M","-0.05%"
"2018- 06- 06","254.89","253.37","254.96","252.72","2.76M","0.80%"
"2018- 06- 05","252.87","252.66","253.13","251.87","1.49M","0.14%"
"2018- 06- 04","252.52","252.17","252.80","251.96","2.03M","0.44%"
"2018- 06- 01","251.41","250.23","251.65","250.17","1.95M","1.05%"
"2018- 05- 31","248.79","249.99","250.30","248.28","2.38M","-0.65%"
"2018- 05- 30","250.41","248.53","250.88","248.43","1.36M","1.32%"
"2018- 05- 29","247.15","248.28","249.08","245.97","4.47M","-1.16%"
"2018- 05- 25","250.04","250.04","250.64","249.49","1.65M","-0.25%"
"2018- 05- 24","250.67","250.74","251.00","248.76","2.03M","-0.19%"
"2018- 05- 23","251.15","249.12","251.15","248.95","1.48M","0.31%"
"2018- 05- 22","250.37","251.67","251.94","250.10","1.06M","-0.29%"
"2018- 05- 21","251.09","250.77","251.68","250.43","1.26M","0.73%"
"2018- 05- 18","249.26","249.53","249.85","248.89","1.70M","-0.25%"
"2018- 05- 17","249.88","249.79","250.99","249.08","1.71M","-0.08%"
"2018- 05- 16","250.09","249.08","250.54","249.07","2.59M","0.43%"
"2018- 05- 15","249.03","249.50","249.52","248.06","2.60M","-0.69%"
"2018- 05- 14","250.75","251.12","251.76","250.21","1.48M","0.11%"
"2018- 05- 11","250.47","250.04","250.92","249.48","1.70M","0.24%"
"2018- 05- 10","249.86","248.36","250.20","248.25","1.54M","0.94%"
"2018- 05- 09","247.54","245.86","247.90","245.36","1.51M","0.97%"
"2018- 05- 08","245.16","244.83","245.53","243.57","1.92M","0.00%"
"2018- 05- 07","245.17","245.19","246.19","244.46","3.13M","0.31%"
"2018- 05- 04","244.41","240.25","245.06","239.89","1.79M","1.33%"
"2018- 05- 03","241.21","240.88","241.90","237.92","2.67M","-0.24%"
"2018- 05- 02","241.78","243.21","244.02","241.36","1.64M","-0.68%"
"2018- 05- 01","243.44","242.45","243.52","240.76","2.32M","0.21%"
"2018- 04- 30","242.92","245.51","246.05","242.85","2.15M","-0.82%"
"2018- 04- 27","244.92","245.23","245.57","243.89","2.18M","0.11%"
"2018- 04- 26","244.66","243.22","245.47","242.77","2.11M","1.03%"
"2018- 04- 25","242.17","241.51","242.63","239.60","2.35M","0.26%"
"2018- 04- 24","241.55","245.97","246.12","240.01","3.65M","-1.36%"
"2018- 04- 23","244.89","245.55","246.08","243.75","1.47M","-0.04%"
"2018- 04- 20","245.00","246.95","247.13","243.97","2.10M","-0.81%"
"2018- 04- 19","247.00","247.62","247.89","245.96","2.00M","-0.55%"
"2018- 04- 18","248.36","248.66","249.22","247.94","1.37M","0.06%"
"2018- 04- 17","248.22","247.42","248.81","246.88","2.30M","1.08%"
